PLAYER,POS,TEAM,GP,GS,W,L,OT,SA,GA,GAA,SV,SVPCT,SO,G,A,PIM,TOI
Jimmy Howard,G,DET,2,2,2,0,0,29,2,1.5,27,0.931,0,0,0,0,79:37:00
Matt Hackett,G,BUF,2,0,2,0,0,21,1,0.94,20,0.952,0,0,0,0,64:08:00
Malcolm Subban,G,BOS,2,1,1,1,0,40,8,5.27,32,0.8,0,0,0,2,90:49:00
Oscar Dansk,G,CLB,1,0,1,0,0,11,2,4.8,9,0.818,0,0,0,0,24:37:00
David Leggio,G,WAS,1,0,1,0,0,17,3,5.45,14,0.824,0,0,0,0,33:15:00
Karri Ramo,G,CGY,2,2,1,0,0,40,6,4.09,34,0.85,0,0,0,0,88:15:00
Tomas Vokoun,G,PIT,2,2,1,1,0,48,7,4,41,0.854,0,0,0,2,104:45:00
Cris Nilstorp,G,DAL,1,0,1,0,0,14,2,3.53,12,0.857,0,0,0,0,33:42:00
Jake Allen,G,STL,1,1,1,0,0,38,5,4.62,33,0.868,0,0,0,0,65:00:00
Kevin Poulin,G,NYI,2,2,1,0,0,39,5,3.37,34,0.872,0,0,0,0,89:23:00
Richard Bachman,G,EDM,2,1,1,1,0,39,5,3.45,34,0.872,0,0,0,0,86:37:00
Alex Stalock,G,SJ,1,1,1,0,0,16,2,2,14,0.875,0,0,0,0,59:56:00
Joey MacDonald,G,CGY,2,2,1,1,0,32,4,2.64,28,0.875,0,0,0,0,91:03:00
Cam Talbot,G,NYR,2,0,1,0,0,24,3,3.21,21,0.875,0,0,0,0,56:12:00
Mike Smith,G,PHO,1,1,1,0,0,17,2,3,15,0.882,0,0,0,0,40:00:00
John Gibson,G,ANA,2,0,1,0,0,26,3,3.53,23,0.885,0,0,0,0,50:31:00
Reto Berra,G,CGY,2,1,1,1,0,49,5,3.13,44,0.898,0,0,0,0,95:52:00
Cal Heeter,G,PHI,1,1,1,0,0,21,2,1.85,19,0.905,0,0,0,0,65:00:00
Ondrej Pavelec,G,WPG,1,1,1,0,0,24,2,2,22,0.917,0,0,0,0,59:40:00
Jonas Hiller,G,ANA,1,1,1,0,0,13,1,1.5,12,0.923,0,0,0,0,40:00:00
Niklas Svedberg,G,BOS,1,0,1,0,0,13,1,1.76,12,0.923,0,0,0,0,33:45:00
Philipp Grubauer,G,WAS,2,0,1,0,1,39,3,2.57,36,0.923,0,0,0,0,69:37:00
Andrew Hammond,G,OTT,2,0,1,0,0,27,2,3,25,0.926,0,0,0,0,40:00:00
Kristers Gudlevskis,G,TB,1,0,1,0,0,14,1,1.76,13,0.929,0,0,0,0,34:09:00
Josh Harding,G,MIN,1,1,1,0,0,17,1,1.5,16,0.941,0,0,0,0,40:00:00
Drew MacIntyre,G,TOR,2,0,1,0,1,34,2,1.6,32,0.941,0,0,0,0,75:17:00
Ryan Miller,G,BUF,2,2,1,0,0,52,3,1.98,49,0.942,0,0,0,0,91:15:00
Robin Lehner,G,OTT,1,1,1,0,0,18,1,1.5,17,0.944,0,0,0,0,40:00:00
Devan Dubnyk,G,EDM,2,2,1,0,0,39,2,1.36,37,0.949,0,0,0,0,88:15:00
Jeremy Smith,G,CLB,1,1,1,0,0,21,1,1,20,0.952,0,0,0,0,59:59:00
Mike McKenna,G,CLB,2,0,1,0,0,25,1,1.2,24,0.96,0,0,0,0,50:00:00
Corey Crawford,G,CHI,1,1,1,0,0,19,0,0,19,1,1,0,0,0,60:00:00
Michael Houser,G,FLA,1,0,1,0,0,13,0,0,13,1,0,0,0,0,24:01:00
Rob Madore,G,FLA,1,0,1,0,0,5,0,0,5,1,0,0,0,0,20:18
Jonathan Quick,G,LA,1,1,1,0,0,12,0,0,12,1,0,0,0,0,39:21:00
Cory Schneider,G,NJ,1,1,1,0,0,22,0,0,22,1,0,0,0,0,40:00:00
Thomas Greiss,G,PHO,1,1,1,0,0,15,0,0,15,1,0,0,0,0,39:56:00
Riku Helenius,G,TB,1,1,1,0,0,15,0,0,15,1,0,0,0,0,30:43:00
Christopher Gibson,G,TOR,1,0,1,0,0,11,0,0,11,1,0,0,0,0,32:00:00
