PLAYER,POS,TEAM,GP,G,A,PTS,+/-,PIM,SOG,PCT,WG,TOI,PPG,PPA,SHG,SHA,SG,SA
Pavel Datsyuk,C,DET,2,2,4,6,2,0,4,50,0,36:08:00,0,3,0,0,0,0
Dennis Wideman,D,CGY,2,3,1,4,0,2,4,75,0,25:44:00,1,1,0,0,0,0
Marian Gaborik,RW,CLB,2,2,2,4,4,4,8,25,0,40:53:00,0,1,0,0,0,0
Erik Gudbranson,D,FLA,2,2,2,4,2,0,12,16.7,0,45:19:00,1,1,0,0,0,0
Guillaume Latendresse,LW,PHO,2,2,2,4,3,2,5,40,0,28:16:00,0,0,0,0,0,0
Mason Raymond,LW,TOR,2,2,2,4,2,0,4,50,0,17:01,0,1,1,0,0,0
Jordan Eberle,C,EDM,2,1,3,4,3,0,5,20,0,15:54,0,0,0,0,0,0
Matt Frattin,RW,LA,2,1,3,4,2,0,3,33.3,1,31:27:00,1,0,0,0,0,0
Matt Bartkowski,D,BOS,2,0,4,4,0,2,2,0,0,38:09:00,0,2,0,0,0,0
Jarome Iginla,RW,BOS,2,3,0,3,-2,2,9,33.3,1,36:33:00,1,0,0,0,0,0
Nick Johnson,RW,BOS,2,3,0,3,0,0,5,60,0,24:47:00,1,0,0,0,0,0
Scottie Upshall,RW,FLA,2,3,0,3,1,0,6,50,0,36:03:00,1,0,0,0,0,0
Zemgus Girgensons,C,BUF,2,2,1,3,3,4,5,40,0,34:04:00,0,0,1,0,0,0
Cam Atkinson,RW,CLB,2,2,1,3,3,0,7,28.6,1,37:59:00,0,0,0,0,0,0
Ryan Johansen,C,CLB,2,2,1,3,2,2,4,50,0,35:53:00,1,0,0,0,0,0
Mark Letestu,C,CLB,2,2,1,3,2,0,6,33.3,0,36:38:00,0,0,0,0,0,0
Ben Smith,RW,CHI,2,2,1,3,3,0,3,66.7,0,32:14:00,0,0,1,0,0,0
Adam Almqvist,D,DET,2,2,1,3,5,2,4,50,1,35:20:00,2,0,0,0,0,0
Henrik Zetterberg,C,DET,2,2,1,3,3,2,4,50,1,35:04:00,1,0,0,0,0,0
Jesse Joensuu,LW,EDM,3,2,1,3,1,2,3,66.7,0,29:08:00,0,0,0,0,0,0
Martin Marincin,D,EDM,2,2,1,3,2,2,1,200,2,18:03,0,0,0,0,0,0
Jeff Carter,C,LA,2,2,1,3,1,0,5,40,0,33:25:00,0,0,0,0,0,0
Brandon Yip,RW,PHO,2,2,1,3,2,2,5,40,0,29:37:00,0,0,0,0,0,0
Nazem Kadri,C,TOR,2,2,1,3,1,2,3,66.7,0,12:05,1,0,0,0,0,0
Brayden McNabb,D,BUF,2,1,2,3,5,0,3,33.3,0,38:10:00,0,0,0,0,0,0
R.J. Umberger,C,CLB,2,1,2,3,0,4,4,25,0,37:28:00,0,1,0,0,0,0
Curtis Glencross,LW,CGY,2,1,2,3,1,0,1,100,0,18:46,0,2,0,0,0,0
Corban Knight,C,CGY,3,1,2,3,3,0,6,16.7,0,0:00,0,0,1,0,0,0
Tyler Seguin,C,DAL,2,1,2,3,-1,2,3,33.3,0,39:23:00,1,2,0,0,0,1
Drew Doughty,D,LA,2,1,2,3,0,2,5,20,0,45:10:00,0,1,0,0,0,0
Eric Gelinas,D,NJ,2,1,2,3,0,0,4,25,1,41:24:00,0,1,0,0,0,0
Sean Couturier,C,PHI,2,1,2,3,1,2,6,16.7,0,42:02:00,0,0,0,0,0,0
Jakub Voracek,RW,PHI,2,1,2,3,0,0,8,12.5,0,30:52:00,0,0,0,0,0,0
Chris Brown,C,PHO,2,1,2,3,-2,0,4,25,0,27:07:00,0,1,0,0,0,0
