ÊP.K. Subban,MON,41,38
ÊKris Letang,PIT,34,36
ÊRyan Suter,MIN,46,32
ÊKimmo Timonen,PHI,45,29
ÊNiklas Kronwall,DET,47,29
ÊAndrei Markov,MON,47,28
ÊCody Franson,TOR,44,28
ÊDustin Byfuglien,WPG,43,28
ÊBrian Campbell,FLA,47,27
ÊDion Phaneuf,TOR,47,27
ÊMark Streit,NYI,47,27
ÊShea Weber,NAS,47,27
ÊAlex Goligoski,DAL,46,27
ÊDuncan Keith,CHI,46,26
ÊSergei Gonchar,OTT,43,26
ÊKeith Yandle,PHO,46,25
ÊSlava Voynov,LOS,47,24
ÊDan Hamhuis,VAN,47,24
ÊAlex Pietrangelo,STL,46,24
ÊFrancois Beauchemin,ANA,47,23
ÊMike Green,WAS,34,23
ÊOliver Ekman-Larsson,PHO,46,23
ÊKevin Shattenkirk,STL,47,23
ÊJustin Schultz,EDM,46,23
ÊJohn Carlson,WAS,47,22
ÊDrew Doughty,LOS,47,22
ÊFedor Tyutin,COB,47,22
ÊJay Bouwmeester,STL,46,22
ÊChristian Ehrhoff,BUF,46,22
ÊDennis Wideman,CGY,45,22
ÊAlexander Edler,VAN,45,22
ÊMatt Carle,TAM,47,21
ÊMichael Del Zotto,NYR,45,21
ÊPaul Martin,PIT,33,21
ÊBrent Seabrook,CHI,45,20
ÊDan Boyle,SAN,45,20
ÊRyan McDonagh,NYR,46,19
ÊVictor Hedman,TAM,43,19
ÊZdeno Chara,BOS,46,19
ÊPatrick Wiercioch,OTT,41,19
ÊMarek Zidlicky,NJD,47,19
ÊRoman Josi,NAS,47,18
ÊJack Johnson,COB,43,18
ÊBrent Burns,SAN,29,18
ÊNick Leddy,CHI,46,18
ÊJoe Corvo,CAR,39,17
ÊSami Salo,TAM,45,17
ÊSheldon Souray,ANA,43,17
ÊJason Garrison,VAN,47,16
ÊGrant Clitsome,WPG,44,16
ÊDougie Hamilton,BOS,42,16
ÊAndy Greene,NJD,47,16
ÊJake Muzzin,LOS,44,16
ÊCarl Gunnarsson,TOR,36,15
ÊJustin Faulk,CAR,37,15
ÊDennis Seidenberg,BOS,44,15
ÊTobias Enstrom,WPG,22,15
ÊMark Giordano,CGY,46,15
ÊDan Girardi,NYR,45,14
ÊZach Bogosian,WPG,33,14
ÊT.J. Brodie,CGY,46,14
ÊJames Wisniewski,COB,29,14
ÊMatt Niskanen,PIT,39,14
ÊKevin Klein,NAS,46,14
ÊLubomir Visnovsky,NYI,35,14
ÊRaphael Diaz,MON,22,14
ÊJared Spurgeon,MIN,37,14
ÊRyan Whitney,EDM,34,13
ÊRon Hainsey,WPG,47,13
ÊStephane Robidas,DAL,47,13
ÊChris Phillips,OTT,46,13
ÊTrevor Daley,DAL,44,13
ÊJakub Kindl,DET,40,13
ÊBarret Jackman,STL,46,12
ÊJeff Petry,EDM,46,12
ÊMichal Rozsival,CHI,25,12
ÊAndrew Ference,BOS,46,12
ÊEric Brewer,TAM,47,12
ÊJohnny Oduya,CHI,46,12
ÊTyson Barrie,COL,30,12
ÊAlexei Emelin,MON,38,12
ÊAndrej Sekera,BUF,36,12
ÊJonathan Ericsson,DET,44,12
ÊMatt Irwin,SAN,37,12
