 Martin St. Louis,TAM,47,58
 Sidney Crosby,PIT,36,56
 Steven Stamkos,TAM,47,56
 Alex Ovechkin,WAS,47,54
 Patrick Kane,CHI,46,54
 Eric Staal,CAR,47,51
 Phil Kessel,TOR,47,51
 Chris Kunitz,PIT,47,50
 Nicklas Backstrom,WAS,47,48
 John Tavares,NYI,47,47
 Jonathan Toews,CHI,46,47
 Ryan Getzlaf,ANA,43,47
 Claude Giroux,PHI,47,47
 Mike Ribeiro,WAS,47,47
 Andrew Ladd,WPG,48,46
 Pavel Datsyuk,DET,46,46
 Henrik Sedin,VAN,47,45
 Taylor Hall,EDM,43,45
 Henrik Zetterberg,DET,45,45
 Jakub Voracek,PHI,47,45
 Matt Moulson,NYI,46,44
 Alexander Semin,CAR,44,44
 Nazem Kadri,TOR,47,44
 Derek Stepan,NYR,47,42
 P.A. Parenteau,COL,46,41
 Anze Kopitar,LOS,46,41
 Blake Wheeler,WPG,48,41
 Daniel Sedin,VAN,47,40
 Rick Nash,NYR,43,40
 Thomas Vanek,BUF,37,40
 Joe Thornton,SAN,47,40
 Matt Duchene,COL,45,40
 Max Pacioretty,MON,43,39
 P.K. Subban,MON,41,38
 Pascal Dupuis,PIT,47,37
 Jiri Tlusty,CAR,47,37
 Zach Parise,MIN,46,37
 Logan Couture,SAN,47,36
 Chris Stewart,STL,47,36
 Corey Perry,ANA,43,36
 Brad Marchand,BOS,43,36
 Kris Letang,PIT,34,36
 Patrik Elias,NJD,47,36
 Michael Ryder,MON,45,35
 Brad Boyes,NYI,47,35
 Sam Gagner,EDM,46,35
 Mikko Koivu,MIN,46,35
 Jaromir Jagr,BOS,45,35
 Teddy Purcell,TAM,47,35
 Jason Pominville,MIN,47,34
 Cody Hodgson,BUF,47,34
 Evander Kane,WPG,48,33
 Jamie Benn,DAL,40,33
 Jeff Carter,LOS,47,33
 Tomas Fleischmann,FLA,47,33
 Tyler Seguin,BOS,46,32
 Ryan Suter,MIN,46,32
 Patrice Bergeron,BOS,40,32
 Tomas Plekanec,MON,46,32
 Jordan Eberle,EDM,46,32
 David Krejci,BOS,45,32
 Wayne Simmonds,PHI,44,32
 Troy Brouwer,WAS,46,32
 James van Riemsdyk,TOR,47,32
 James Neal,PIT,39,32
 Brad Richards,NYR,45,32
 Michael Cammalleri,CGY,43,32
 Mike Richards,LOS,47,32
 Bryan Little,WPG,48,32
 Patrick Marleau,SAN,47,31
 Ilya Kovalchuk,NJD,36,31
 Tyler Ennis,BUF,46,31
 Johan Franzen,DET,40,31
 Vincent Lecavalier,TAM,38,31
 Jarome Iginla,PIT,43,31
 Lee Stempniak,CGY,46,31
 Justin Williams,LOS,47,31
 Joe Pavelski,SAN,47,30
 Jordan Staal,CAR,47,30
 Evgeni Malkin,PIT,30,30
 Marian Hossa,CHI,39,30
 Derick Brassard,NYR,46,29
 Niklas Kronwall,DET,47,29
 Bobby Ryan,ANA,45,29
 Loui Eriksson,DAL,47,29
 Ray Whitney,DAL,31,29
 Vinny Prospal,COB,47,29
 Ryan Callahan,NYR,44,29
 Frans Nielsen,NYI,47,29
 Dustin Brown,LOS,46,29
 Kimmo Timonen,PHI,45,29
 Jonathan Huberdeau,FLA,47,28
 Tyler Bozak,TOR,46,28
 Andrei Markov,MON,47,28
 Cory Conacher,OTT,45,28
 Dustin Byfuglien,WPG,43,28
 David Desharnais,MON,47,28
 Cody Franson,TOR,44,28
 Dion Phaneuf,TOR,47,27
 Derek Roy,VAN,41,27
 Jiri Hudler,CGY,42,27
 Mark Letestu,COB,45,27
 Shea Weber,NAS,47,27
 Alex Goligoski,DAL,46,27
