 Patrick Kane                 CHI 15.7133
 Jonathan Toews               CHI 13.6764
 Sidney Crosby                PIT 13.4152
 Marian Hossa                 CHI 10.2964
 Patrick Sharp                CHI 9.41934
 Chris Kunitz                 PIT 9.17451
 Kris Letang                  PIT 9.13134
 Evgeni Malkin                PIT 8.62404
 Ryan Getzlaf                 ANA 8.60377
 Brandon Saad                 CHI 7.73378
 Duncan Keith                 CHI 7.56565
 Torey Krug                   BOS 7.19968
 James Neal                   PIT 7.07614
 Pascal Dupuis                PIT 6.78914
 Jeremy Morin                 CHI 6.69269
 Viktor Stalberg              CHI 6.69269
 Bryan Bickell                CHI 6.69269
 Corey Perry                  ANA 6.59012
 Michal Rozsival              CHI 6.42498
 Jarome Iginla                PIT 6.21733
 Brad Marchand                BOS 6.02764
 Brent Seabrook               CHI 5.94906
 P.K. Subban                  MON 5.86854
 Patrice Bergeron             BOS 5.75974
 Max Pacioretty               MON 5.74284
 Jaromir Jagr                 BOS 5.59975
 Paul Martin                  PIT 5.48803
 Dave Bolland                 CHI 5.35415
 Nick Leddy                   CHI 5.23776
 Joffrey Lupul                TOR 5.18785
 David Krejci                 BOS 5.11977
 Bobby Ryan                   ANA 5.07276
 Tyler Seguin                 BOS 5.00847
 Alex Ovechkin                WAS 4.93669
 Michael Ryder                MON 4.92477
 Jason Spezza                 OTT 4.91007
 Henrik Sedin                 VAN 4.83925
 Phil Kessel                  TOR 4.69114
 Beau Bennett                 PIT 4.64371
 Saku Koivu                   ANA 4.62025
 Brenden Morrow               PIT 4.61286
 Jimmy Hayes                  CHI 4.46179
 Tomas Plekanec               MON 4.40477
 Nicklas Backstrom            WAS 4.38817
 Andrew Shaw                  CHI 4.3648
 Daniel Sedin                 VAN 4.30156
 Mike Ribeiro                 WAS 4.29675
 Jussi Jokinen                PIT 4.10669
 Ryan Kesler                  VAN 4.10664
 Nazem Kadri                  TOR 4.04726
 Raphael Diaz                 MON 4.02936
 Teemu Selanne                ANA 4.02323
 Anze Kopitar                 LOS 3.94522
 Kyle Palmieri                ANA 3.93577
 Radek Dvorak                 ANA 3.93577
 Erik Karlsson                OTT 3.92806
 Milan Lucic                  BOS 3.9271
 Andrew Cogliano              ANA 3.85203
 Francois Beauchemin          ANA 3.85203
 Brendan Gallagher            MON 3.82856
 Lars Eller                   MON 3.79911
 David Desharnais             MON 3.77217
 Andrei Markov                MON 3.77217
 Nathan Horton                BOS 3.68356
 Nick Bonino                  ANA 3.63301
 Carl Soderberg               BOS 3.59984
 Alex Galchenyuk              MON 3.50273
 Brian Gionta                 MON 3.50273
 Marcus Kruger                CHI 3.49184
 Johnny Oduya                 CHI 3.49184
 Matt Cooke                   PIT 3.48631
 Joe Thornton                 SAN 3.36294
 Derek Roy                    VAN 3.32846
 Brandon Sutter               PIT 3.30282
 Milan Michalek               OTT 3.27338
 Daniel Winnik                ANA 3.18211
 Rene Bourque                 MON 3.16593
 Anders Lee                   NYI 3.16592
 John Tavares                 NYI 3.16592
 Michael Frolik               CHI 3.11288
 Sheldon Souray               ANA 3.112
 Jeff Carter                  LOS 3.10786
 Matt Niskanen                PIT 3.09581
 Rick Nash                    NYR 3.05798
 Cory Conacher                OTT 3.05515
 Matt Moulson                 NYI 3.02827
 Logan Couture                SAN 3.02665
 Mike Richards                LOS 3.01368
 Troy Brouwer                 WAS 2.98904
 Zdeno Chara                  BOS 2.97378
 Sergei Gonchar               OTT 2.96888
 James van Riemsdyk           TOR 2.94346
 Derek Stepan                 NYR 2.93761
 Justin Williams              LOS 2.9195
 Chris Stewart                STL 2.91337
 Niklas Hjalmarsson           CHI 2.90987
 Mike Green                   WAS 2.90663
 Marcus Johansson             WAS 2.8645
 Jannik Hansen                VAN 2.8568
 Michal Handzus               CHI 2.81797
 Dustin Brown                 LOS 2.79052
 Daniel Paille                BOS 2.78169
 Kyle Turris                  OTT 2.77526
 Cody Franson                 TOR 2.75113
 Dougie Hamilton              BOS 2.74274
 Daniel Alfredsson            OTT 2.72782
 Alexander Steen              STL 2.63324
 Tyler Bozak                  TOR 2.63152
 Patrick Marleau              SAN 2.60628
 Henrik Zetterberg            DET 2.59969
 Pavel Datsyuk                DET 2.59969
 Dan Hamhuis                  VAN 2.58093
 Alexandre Burrows            VAN 2.58093
 Rich Peverley                BOS 2.55989
 T.J. Oshie                   STL 2.53571
 Joe Pavelski                 SAN 2.52221
 Dion Phaneuf                 TOR 2.48355
 Alexander Edler              VAN 2.47101
 Tyler Toffoli                LOS 2.45908
 Mika Zibanejad               OTT 2.45503
 Dennis Seidenberg            BOS 2.45444
 Brent Burns                  SAN 2.45263
 Matt Beleskey                ANA 2.43643
 Mason Raymond                VAN 2.35869
 Brad Boyes                   NYI 2.3576
 Martin Erat                  WAS 2.34368
 Brad Richards                NYR 2.33766
 Ben Lovejoy                  ANA 2.31516
 Robert Bortuzzo              PIT 2.29974
 Patrick Wiercioch            OTT 2.2754
 Slava Voynov                 LOS 2.26026
 Matthew Lombardi             ANA 2.24901
 Matt Frattin                 TOR 2.24807
 Brandon Prust                MON 2.2247
 Clarke MacArthur             TOR 2.21703
 Joel Ward                    WAS 2.20346
 Cam Fowler                   ANA 2.18654
 Ryan Callahan                NYR 2.16665
 Dustin Jeffrey               PIT 2.15601
 Nikolai Kulemin              TOR 2.11561
 Andy McDonald                STL 2.11309
 Nathan Beaulieu              MON 2.11062
 Yannick Weber                MON 2.11062
